rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,hash_ultra_light,Hashing Ultra Light,hashing,low,nb_smooth,Naive Bayes Smooth,probabilistic,low,hash_ultra_light__nb_smooth,completed,0.65,0.6372377622377622,0.6229458041958041,0.6375661375661376,0.6666666666666666,0.02439141273498535,0.004513978958129883,97.3369140625,63.82845279720279,97.6360745048523,100,79.632863939432,
2,hash_ultra_light,Hashing Ultra Light,hashing,low,logreg_tuned,Logistic Regression Tuned,linear,low,hash_ultra_light__logreg_tuned,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.055022239685058594,0.004946231842041016,49.5009765625,60.541666666666664,98.38307312011719,100,77.97453129069011,
3,hash_ultra_light,Hashing Ultra Light,hashing,low,sgd_svm,SGD SVM,margin_based,medium,hash_ultra_light__sgd_svm,completed,0.55,0.5261904761904762,0.515,0.5650793650793651,0.5714285714285714,0.013458251953125,0.003149747848510742,49.6474609375,53.04642857142858,98.7373163986206,85,71.67299899400984,
4,tfidf_chars_heavy,TF-IDF Characters 3-5,tfidf_char,high,sgd_svm,SGD SVM,margin_based,medium,tfidf_chars_heavy__sgd_svm,completed,0.5,0.4606286959228136,0.4542483660130719,0.5086580086580087,0.5158730158730159,0.09206414222717285,0.01695871353149414,229.072265625,46.95144724556489,93.84864702224732,55,62.84302538951016,
5,tfidf_chars_heavy,TF-IDF Characters 3-5,tfidf_char,high,logreg_tuned,Logistic Regression Tuned,linear,low,tfidf_chars_heavy__logreg_tuned,completed,0.45,0.42886002886002883,0.42173160173160174,0.4166666666666667,0.4603174603174603,0.40909838676452637,0.01313638687133789,228.92578125,43.307575757575755,92.17871084213257,70,62.75490883509318,
6,tfidf_words_2gram,TF-IDF Words 1-2 grams,tfidf_word,medium,nb_smooth,Naive Bayes Smooth,probabilistic,low,tfidf_words_2gram__nb_smooth,completed,0.35,0.3333333333333333,0.3333333333333333,0.3259259259259259,0.34920634920634913,0.011098384857177734,0.0016531944274902344,69.4619140625,33.75,98.44497974395753,85,61.00149594879151,
7,count_clean,CountVectorizer Clean,count,low,sgd_svm,SGD SVM,margin_based,medium,count_clean__sgd_svm,completed,0.3,0.2914529914529915,0.2976923076923077,0.2916666666666667,0.29365079365079366,0.005819797515869141,0.0009031295776367188,13.427734375,29.452564102564104,99.64233875274658,85,58.877378006959574,
8,count_clean,CountVectorizer Clean,count,low,logreg_tuned,Logistic Regression Tuned,linear,low,count_clean__logreg_tuned,completed,0.25,0.25274725274725274,0.2582417582417583,0.2638888888888889,0.24603174603174602,0.06936407089233398,0.0013935565948486328,13.28125,25.28846153846154,99.23457717895508,100,58.755569281944865,
9,tfidf_words_2gram,TF-IDF Words 1-2 grams,tfidf_word,medium,sgd_svm,SGD SVM,margin_based,medium,tfidf_words_2gram__sgd_svm,completed,0.35,0.32609351432880845,0.318868778280543,0.3434343434343434,0.3650793650793651,0.007025241851806641,0.0013773441314697266,51.119140625,33.098642533936655,98.85282508850098,70,58.47481841136536,
10,tfidf_words_2gram,TF-IDF Words 1-2 grams,tfidf_word,medium,logreg_tuned,Logistic Regression Tuned,linear,low,tfidf_words_2gram__logreg_tuned,completed,0.3,0.287962962962963,0.29125,0.3055555555555555,0.29365079365079366,0.0415189266204834,0.004379749298095703,50.97265625,29.146527777777777,98.46864835739136,85,58.474319949256056,
11,count_clean,CountVectorizer Clean,count,low,nb_smooth,Naive Bayes Smooth,probabilistic,low,count_clean__nb_smooth,completed,0.25,0.23174603174603173,0.24333333333333335,0.2261904761904762,0.23809523809523805,0.005095243453979492,0.0006899833679199219,18.4111328125,23.804761904761904,99.55980688095093,100,58.00458042380924,
12,tfidf_chars_heavy,TF-IDF Characters 3-5,tfidf_char,high,nb_smooth,Naive Bayes Smooth,probabilistic,low,tfidf_chars_heavy__nb_smooth,completed,0.35,0.33589743589743587,0.3373076923076923,0.32857142857142857,0.34920634920634913,0.02885150909423828,0.005314350128173828,322.5087890625,33.96346153846154,93.05785415649414,70,57.79147467745268,
13,tfidf_words_2gram,TF-IDF Words 1-2 grams,tfidf_word,medium,tree_shallow,Decision Tree Shallow,tree_based,medium,tfidf_words_2gram__tree_shallow,failed,,,,,,,,,0.0,0.0,0,0.0,'DecisionTreeClassifier'
14,count_clean,CountVectorizer Clean,count,low,tree_shallow,Decision Tree Shallow,tree_based,medium,count_clean__tree_shallow,failed,,,,,,,,,0.0,0.0,0,0.0,'DecisionTreeClassifier'
15,tfidf_chars_heavy,TF-IDF Characters 3-5,tfidf_char,high,tree_shallow,Decision Tree Shallow,tree_based,medium,tfidf_chars_heavy__tree_shallow,failed,,,,,,,,,0.0,0.0,0,0.0,'DecisionTreeClassifier'
16,hash_ultra_light,Hashing Ultra Light,hashing,low,tree_shallow,Decision Tree Shallow,tree_based,medium,hash_ultra_light__tree_shallow,failed,,,,,,,,,0.0,0.0,0,0.0,'DecisionTreeClassifier'
